gene_id	gene_name	control_rep1	control_rep2	control_rep3	imatinib_rep1	imatinib_rep2	imatinib_rep3
ACAD11	ACAD11	105.169	112.208	117.355	181.501	160.197	110.324
ACAD8	ACAD8	588.013	568.88	541.901	732.491	846.241	671.786
ACAD9	ACAD9	696.197	824.954	751.236	710.37	746.562	685.981
ACADL	ACADL	0	0	0	0	0	0
ACADM	ACADM	2391.499	2715.492	2637.72	2865.609	3242.499	2826.833
ACADS	ACADS	174	212.009	209.146	626.444	598.47	384.006
ACADSB	ACADSB	336.704	405	366.263	542.888	567.998	498.34
ACADVL	ACADVL	4038.579	4118.678	3372.925	4538.127	5084.663	4037.625
ACAN	ACAN	0	0	0	0	2	0
ACAP1	ACAP1	4	10	5	21	18	15
ACAP2	ACAP2	811.036	960.121	970.93	1010.009	1083.235	897.532
ACAP3	ACAP3	781.376	796.87	620.078	984.965	1071.148	864.547
ACAT1	ACAT1	1761.35	2054.834	1771.165	1840.909	2123.984	1797.218
ACAT2	ACAT2	3115.215	3394.498	3080.536	3454.903	3831.036	3326.773
ACBD3	ACBD3	1027.986	1193.983	1156.025	1111.654	1263.98	1015.497
ACBD4	ACBD4	129.999	119.999	90.044	332.346	391.586	225.067
ACBD5	ACBD5	364.998	414.968	389.436	438.151	490.664	406.549
ACBD6	ACBD6	1167.401	1188.587	996.551	807.915	929.63	913.173
ACBD7	ACBD7	11	27	20	37	14	21
ACCS	ACCS	159.001	163.054	156.49	398.407	499.902	316
ACCSL	ACCSL	0	0	0	0	0	0
ACD	ACD	685.4	691.133	569.037	587.652	693.4	579.119
ACE	ACE	88	73.021	42	18	25	51.001
ACE2	ACE2	0	3	1	4	2	2
ACER1	ACER1	0	0	0	0	0	0
ACER2	ACER2	47	80.999	46.999	41	67.003	45
ACER3	ACER3	538.164	640.073	525.754	517.046	592.085	460.794
ACHE	ACHE	134	91.71	80	189.081	220.052	124.009
ACIN1	ACIN1	4811.324	4950.93	4087.733	4983.398	6012.765	4603.286
ACKR2	ACKR2	62	44	33	78	116	93.033
ACKR3	ACKR3	0	0	0	0	0	0
ACKR4	ACKR4	9	11	14	7	14	9
ACLY	ACLY	9696.525	10599.637	9452.943	6601.24	7362.524	6339.355
ACMSD	ACMSD	0	0	0	0	0	3
ACN9	ACN9	743.045	910.002	757.034	533.114	561.598	583.11
ACO1	ACO1	903.698	993.377	956.635	922.877	891.039	846.296
ACO2	ACO2	2535.178	2842.542	2461.607	2389.812	2916.131	2258.838
ACOT1	ACOT1	0	0	0	1	0	0
ACOT11	ACOT11	30.043	16	20	52.895	54	26
ACOT12	ACOT12	0	0	0	0	0	0
ACOT13	ACOT13	739.768	768.475	592.923	1129.186	1244.229	1049.308
ACOT2	ACOT2	0	0	0	0	2	0
ACOT4	ACOT4	0	0	0	0	0	0
ACOT6	ACOT6	0	0	0	0	0	0
ACOT7	ACOT7	1019.615	1265.123	962.688	552.615	694.727	622.101
ACOT8	ACOT8	176.212	242	209.52	405.702	462.692	321.893
ACOT9	ACOT9	549.003	629.219	586.391	605.943	730.189	673.031
ACOX1	ACOX1	539.588	670.835	609.309	712.219	871.775	678.655
ACOX2	ACOX2	0	1	2	2	1	1
ACOX3	ACOX3	169.001	227	193.026	321.037	341.071	246.959
ACOXL	ACOXL	0	0	0	4	1	1
ACP1	ACP1	2430.394	2550.82	2188.824	2430.41	2667.996	2427.794
ACP2	ACP2	360	382.007	357.323	537.474	629.609	452.813
ACP5	ACP5	273.212	254.058	220.114	1465.939	1619.504	1015.823
ACP6	ACP6	5	1	3	23	22	11
ACPL2	ACPL2	6	15	6	13	19	8
ACPP	ACPP	1	1	2	0	2	2
ACPT	ACPT	0	0	0	0	0	0
ACR	ACR	0	0	0	0	0	0
ACRBP	ACRBP	19	16	1	30	28	22
ACRC	ACRC	18	29	11	45	35.03	18
ACRV1	ACRV1	5	1	5	8	3	10
ACSBG1	ACSBG1	4	6	6	7	12	7
ACSBG2	ACSBG2	0	4	4	4	9	6
ACSF2	ACSF2	31	57.001	36	177.364	216.144	92.065
ACSF3	ACSF3	674.064	654.08	503.36	933.776	945.958	742.887
ACSL1	ACSL1	750.617	813.918	808.317	637.07	646.411	610.205
ACSL3	ACSL3	2305.312	2252.361	2303.791	1549.466	1892.306	1962.737
ACSL4	ACSL4	1080.329	1151.02	1087.923	707.907	867.425	889.268
ACSL5	ACSL5	0	4	0	6	19	5
ACSL6	ACSL6	48	64	45.893	623.332	828.651	403.788
ACSM1	ACSM1	12	16	16.001	108	132.999	85.06
ACSM2A	ACSM2A	0	0	0	0	0	0
ACSM2B	ACSM2B	0	0	0	0	0	0
ACSM3	ACSM3	3110.596	3986.644	3411.182	3876.095	4322.376	4278.47
ACSM4	ACSM4	0	0	0	0	0	1
ACSM5	ACSM5	0	0	0	0	0	0
ACSS1	ACSS1	8	17.297	6	132.02	123	49
ACSS2	ACSS2	1234.516	1300.016	1119.931	1667.192	1983.693	1312.104
ACSS3	ACSS3	3	2	2	4	0	6
ACTA1	ACTA1	1	3	0	8.002	0	1
ACTA2	ACTA2	0	1	5	2	4	10
ACTA2-AS1	ACTA2-AS1	0	0	0	0	0	0
ACTB	ACTB	39116.417	40097.856	34527.119	37129.727	42370.143	33059.955
ACTBL2	ACTBL2	0	0	0	0	0	0
ACTC1	ACTC1	0	5	0	1	0	0
ACTG1	ACTG1	8624.234	10758.966	8945.249	6916.46	8193.946	6110.514
ACTG1P4	ACTG1P4	0	0	0	0	0	3
ACTG2	ACTG2	0	3	0	0	0	0
ACTL10	ACTL10	3	9	3	3	6	2
ACTL6A	ACTL6A	1549.013	1657.35	1443.036	1148.662	1259.153	1298.283
ACTL6B	ACTL6B	0	0	0	0	2	0
ACTL7A	ACTL7A	0	0	0	0	0	0
ACTL7B	ACTL7B	0	0	0	0	0	0
ACTL8	ACTL8	121.159	83	83.013	40.002	51	71
ACTL9	ACTL9	3	5	2	0	0	5
ACTN1	ACTN1	2819.967	3038.054	2550.112	2225.569	2637.614	2102.651
ACTN1-AS1	ACTN1-AS1	0	0	0	0	0	0
ACTN2	ACTN2	52.006	53.84	48	47.022	51	40
ACTN3	ACTN3	2	1	1	2	2	0
ACTN4	ACTN4	12332.647	11440.721	9743.701	4664.965	5487.311	4870.034
ACTR10	ACTR10	414.651	432.204	463.408	671.074	639.323	592.054
ACTR1A	ACTR1A	2156.179	2354.672	1930.796	2008.282	2452.36	1866.038
ACTR1B	ACTR1B	814.985	879.779	806.968	1678.999	1840.514	1528.904
ACTR2	ACTR2	7945.063	9062.348	8454.599	7770.172	8921.894	8369.224
ACTR3	ACTR3	6620.455	7311.23	7106.652	7422.983	8392.572	7113.001
ACTR3B	ACTR3B	516.612	562.478	526.974	338.557	343.146	350.361
ACTR3BP2	ACTR3BP2	0	0	0	0	0	0
ACTR3BP5	ACTR3BP5	0	0	0	0	0	0
ACTR3C	ACTR3C	71.685	80.332	102.202	57.886	67.853	66.268
ACTR5	ACTR5	360.133	380.091	289.599	234.33	281.005	277.538
ACTR6	ACTR6	862.495	1130.674	1000.353	718.471	789.411	813.147
ACTR8	ACTR8	538.143	548.821	516.327	431.072	480.57	424.795
ACTRT1	ACTRT1	0	0	0	0	0	0
ACTRT2	ACTRT2	0	0	0	0	0	0
ACTRT3	ACTRT3	0	0	0	2	0	0
ACVR1	ACVR1	187.331	225	200.017	196.074	230.041	231.073
ACVR1B	ACVR1B	349.008	415	357.004	220.128	238.258	205.651
ACVR1C	ACVR1C	2	4	3	8.003	4	5
ACVR2A	ACVR2A	68.59	72.227	64.201	41.003	43.139	35.242
ACVR2B	ACVR2B	568.287	649.03	617.762	965.285	1046.028	865.278
ACVR2B-AS1	ACVR2B-AS1	4	8	12.003	17	18.049	16
ACVRL1	ACVRL1	3	4	4	4	1	1
ACY1	ACY1	1198.395	1350.093	1054.207	1543.035	1611.734	1151.485
ACY3	ACY3	0	0	0	0	0	0
ACYP1	ACYP1	244.265	254.157	191.19	202.621	205.196	233.179
ACYP2	ACYP2	44	34.999	37.042	72.023	86.456	89.085
AD000090.2	AD000090.2	230.154	195.207	183.961	137.722	167.069	207.373
ADA	ADA	337.045	399.444	373.567	685.638	892.143	541.261
ADAD1	ADAD1	0	0	0	0	0	0
ADAD2	ADAD2	0	0	0	0	0	0
ADAL	ADAL	305.427	360.502	323.227	439.136	524.291	462.981
ADAM10	ADAM10	1029.559	1111.051	1164.032	1137.215	1338.538	1211.741
ADAM11	ADAM11	10	13	5	9	3	6
ADAM12	ADAM12	0	0	0	0	0	0
ADAM15	ADAM15	941.392	992.527	958.793	640.147	739.989	688.472
ADAM17	ADAM17	749.695	781.142	824.023	777.366	819.393	707.307
ADAM18	ADAM18	2	4	2	0	0	1
ADAM19	ADAM19	307.024	402.072	280.592	246	252.091	198.001
ADAM1A	ADAM1A	175.001	141	169	231	244	222.047
ADAM2	ADAM2	0	0	0	0	0	0
ADAM20	ADAM20	0	2	1	0	6	1
ADAM20P1	ADAM20P1	1	2	2	5	9	5
ADAM21	ADAM21	0	0	0	0	0	0
ADAM21P1	ADAM21P1	3	1	1	0	1	1
ADAM22	ADAM22	517.001	590.071	499.801	503.013	543.114	547.9
ADAM23	ADAM23	0	0	0	0	0	0
ADAM28	ADAM28	0	0	0	0	0	0
ADAM29	ADAM29	0	0	0	0	0	0
ADAM30	ADAM30	0	0	0	0	0	0
ADAM32	ADAM32	0	3	1	1	1	0
ADAM33	ADAM33	0	0	0	0	0	0
ADAM3A	ADAM3A	4	3	6	17	24	8
ADAM5	ADAM5	0	0	0	0	0	0
ADAM6	ADAM6	0	0	0	0	0	0
ADAM7	ADAM7	0	0	0	0	0	0
ADAM8	ADAM8	221	221.278	164	1038.746	1200.718	634.751
