gene_id	gene_name	control_rep1	control_rep2	control_rep3	nilotinib_rep1	nilotinib_rep2	nilotinib_rep3
AC012309.5	AC012309.5	0	0.258912	0.024179	0.051772	0	0.210767
AC012314.8	AC012314.8	0.401713	0.267356	0.566096	0.793294	0.494513	0.698307
AC012494.1	AC012494.1	0.136043	0.128118	0.069505	0.037106	0.075663	0
AC012507.3	AC012507.3	0	0.022017	0	0.01912	0	0
AC015922.6	AC015922.6	0.041585	0.208525	0.085033	0	0	0
AC016582.2	AC016582.2	0.039215	0	0.020013	0	0	0.021442
AC016629.8	AC016629.8	0.954634	0.880227	1.265122	0.853238	0.810433	0.978799
AC016738.3	AC016738.3	0	0	0	0	0	0
AC016910.1	AC016910.1	0	0	0	0.079011	0	0
AC016995.3	AC016995.3	1.017744	0.948394	0.63733	1.7555	1.023184	0.812303
AC017060.1	AC017060.1	0	0.398148	0	0	0	0
AC018464.3	AC018464.3	0	0	0	0	0	0
AC018470.4	AC018470.4	1.561045	1.757022	1.89638	3.312467	3.171543	3.543913
AC018647.3	AC018647.3	0	0	0	0	0	0
AC018705.5	AC018705.5	0	0	0	0	0	0
AC018742.1	AC018742.1	0	0	0	0	0	0
AC018799.1	AC018799.1	0	0	0	0	0	0
AC019048.1	AC019048.1	0	0	0.111444	0	0	0
AC019118.2	AC019118.2	0	0	0	0	0	0
AC020571.3	AC020571.3	4.725855	4.833231	5.023715	0.187915	0.219707	0.267305
AC022007.5	AC022007.5	0.397104	0.634061	0.673349	1.864381	2.655605	2.497756
AC022173.2	AC022173.2	0	0	0	0	0	0
AC022311.1	AC022311.1	0	0	0	0	0	0
AC024592.9	AC024592.9	0.1852	0	0.063065	0	0.034393	0
AC027269.2	AC027269.2	0.031448	0.158041	0.096384	0	0	0
AC037193.1	AC037193.1	0	0	0	0	0	0
AC058791.1	AC058791.1	0.014484	0.018264	0.029556	0.047579	0.097709	0.095648
AC068831.10	AC068831.10	1.134022	0.899085	1.157602	1.49285	1.341003	1.192089
AC068858.1	AC068858.1	0	0	0	0	0	0
AC069277.1	AC069277.1	0.264053	0	0.148353	0	0.302662	0
AC072062.1	AC072062.1	0.287924	0.235997	0.411266	0.189162	0.210424	0.364458
