gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
BCL6,2190.8528407196304,-4.55195334794095,0.21418644668935724,-21.252294056415348,3.1394569526774826e-100,5.0007989047236896e-98
GYPE,6963.125345281111,2.144555815652326,0.10095451252131432,21.242793037107187,3.8434421586880947e-100,6.05969640753977e-98
ACHE,754.7302534476638,3.0256089568043967,0.14322372751527135,21.125053853117937,4.680919629569848e-99,7.305544363281184e-97
INHA,1553.8551950164517,3.704484935176492,0.17652506534976134,20.985602967128433,8.878984976745335e-98,1.3718919687569217e-95
PAK6,418.26385512796304,4.513738944006212,0.21632900618762818,20.865158230752098,1.1102652450859786e-96,1.6984859704775698e-94
SPTA1,18121.393578798306,3.3667802082724765,0.16146251170159778,20.851776507073623,1.468673813588589e-96,2.2247528523291458e-94
PPT2-EGFL8,3313.0760598619604,2.8016201698526553,0.13444593348275014,20.83826633709314,1.9476524659534878e-96,2.9216677914026545e-94
GAB1,3180.9446425139445,2.4224118149086284,0.1164445152292714,20.803142253107094,4.053627804393994e-96,6.022365692854961e-94
ESYT1,16130.083629678682,-1.7680614939701693,0.0851709603045879,-20.758970987848887,1.0172150286353837e-95,1.4968561340424108e-93
HBQ1,2781.1484847835604,1.9182711466500373,0.09270483594267634,20.6922446617153,4.0682661092756255e-95,5.930073552303556e-93
CAT,10195.416701786504,1.9244836156894027,0.0930332245400446,20.685982080101294,4.6324479976928737e-95,6.68934149648155e-93
SPRY4,526.8525828979558,-6.268057655859195,0.3031381311215761,-20.677232628795675,5.5536716597842434e-95,7.94535007549318e-93
CHST2,12273.934048822752,2.4019840469440927,0.11624611735220666,20.66291848411999,7.470956396748335e-95,1.0590252044601698e-92
PRR5,2775.9072099415903,2.571802166881239,0.125923246486166,20.42356942539421,1.0323836897511248e-92,1.4501236718495118e-90
TSC22D1,3962.3063891751754,2.1875940697245104,0.1072705026821679,20.393248982957967,1.9196464356071572e-92,2.6721132501410976e-90
ARVCF,8036.54262950186,2.0897847990785716,0.1029813978928189,20.29283775360653,1.487561586292604e-91,2.052170899089913e-89
ANXA3,716.4523784453471,-3.608999207871307,0.17814769981667486,-20.25846649485339,2.9913506152653324e-91,4.0902087041119156e-89
SPI1,1965.8501588275496,-2.187373659345594,0.10823912579834076,-20.208715131540032,8.205631666253194e-91,1.1121510076778782e-88
NT5DC3,1289.9265302970161,-2.2250075528821185,0.11031156974937693,-20.17021023213828,1.7887673962804206e-90,2.403325655645981e-88
STC2,1616.746842330238,-3.955043687732093,0.19621516923081259,-20.156666292602896,2.352050755070203e-90,3.1328910531542845e-88
WARS,19402.52561197076,-3.2306423959589274,0.16035574486862084,-20.146720646683328,2.8754246133804746e-90,3.797280829174506e-88
APOL4,485.67797548822165,-6.650510952685464,0.33165238021513715,-20.052655579831487,1.9135321291618402e-89,2.5055919430236944e-87
FAM178B,5799.097254274703,-2.478845135713943,0.12362908512671221,-20.05066310385844,1.9917270862407404e-89,2.5860651436559398e-87
HBA2,186684.61023526822,6.262404019955167,0.31238883625192426,20.046824000153727,2.151492737767442e-89,2.770226190937062e-87
SOCS3,821.9279084253194,-3.353980899747278,0.1680508218753101,-19.958134463846037,1.2737934986359024e-88,1.6265606072250686e-86
NUPR1,410.499676100507,-5.485463155440751,0.2758227178569552,-19.887640866063737,5.206751778447249e-88,6.594223092523643e-86
ICAM1,1753.6080151647286,-2.1047471489233605,0.1058693551200081,-19.88060800538103,5.990353375262387e-88,7.524955284648711e-86
ERAL1,2429.1639779389,-1.9655432038962284,0.09897790351847531,-19.858404088437155,9.322614947503739e-88,1.1616429318861312e-85
ARRDC2,3252.364283244319,1.8116698341958013,0.0913255107914057,19.837500151888452,1.413128901940962e-87,1.7467403731111845e-85
BTNL10,305.0875176236197,5.140470802908309,0.25917116294567527,19.83426992603263,1.5068821940967102e-87,1.8478441889673228e-85
FMNL1,1793.9632053379676,-2.649697401598085,0.13389536276454894,-19.78931418452109,3.680152790448958e-87,4.477326044506051e-85
ETV1,480.578161260747,-5.435388753854324,0.27503356978682714,-19.762637550271346,6.245447981767638e-87,7.538938809866545e-85
DAAM1,1856.6010632868165,1.8954757177416772,0.09598791591277268,19.747024401114793,8.50857385967745e-87,1.019116082991289e-84
GYG2,634.181547069207,-3.567085186343476,0.18152531862584642,-19.65062071421467,5.711018387758769e-86,6.787765008404672e-84
ACSS1,880.8641270024572,4.381372828746748,0.2235108066587756,19.602510027336635,1.471818259701115e-85,1.7359590786749564e-83
CD33,503.75139086812555,-3.356612371046798,0.17126586602734298,-19.598840381368856,1.5818773608213316e-85,1.8516353865189693e-83
FNDC3B,1536.6707367216686,-2.0599979974149174,0.1051210743278034,-19.59643211970171,1.658528617749989e-85,1.926761328786096e-83
